Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
263--Cotton Textile Fibers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248--Wood; Simply Worked,0,0,0,12812,42425,0,0,0,0,0,0,0,0,0,0
247--Wood In The Rough,0,0,0,20508,0,0,0,0,0,0,0,0,0,0,0
232--Synthetic Rubber and Reclaim Rubber,0,0,0,0,0,0,0,420380,184913,1300,0,0,0,0,0
231--Natural Rubber In Primary Form,0,0,759,0,0,0,0,0,0,0,0,0,0,0,0
223--Oil Seeds and Oleaginous Fruit For Vegetable Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222--Oil Seeds and Oleaginous Fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211--Hides & Skins; Raw,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0
111--Nonalcoholic Beverages,0,0,0,0,0,17714,0,0,0,11987,0,0,0,0,0
072--Cocoa,0,0,0,0,0,0,53358,0,0,0,0,0,0,0,0
062--Sugar Confectionery,221929,86223,266477,140246,60024,51370,8252,0,0,0,0,0,0,4937,0
061--Sugars; Molasses And Honey,0,0,5658,86213,143706,43200,0,0,0,0,188352,15000,0,0,0
056--Vegetables; Roots And Tubers; Prepared Or Preserv,0,0,0,0,15824,0,0,0,0,9031,0,0,0,4909,0
046--Meal And Flour Of Wheat And Meslin,0,0,0,0,0,2233,0,0,0,0,0,7600,0,0,0
045--Cereals; Except Wheat; Rice; Barley; Maize,0,0,0,0,0,6400,4000,171736,143238,36124,82986,0,65850,40000,0
042--Rice,0,0,0,5811,0,0,0,0,0,0,0,0,0,9378,0
037--Fish; Crustaceans and Molluscs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
036--Crustacean,61352,36481,0,0,104934,0,0,0,66933,0,0,77238,0,0,0
035--Fish; Dried; Smoked Fish,0,0,0,0,4400,0,0,2610,0,0,0,0,0,0,0
023--Butter And Other Fats And Oils,0,0,3060,16017,0,13391,10388,0,0,3150,3000,6613,7220,3339,0
022--Milk; Cream; Milk Products Except Butter Or Chees,0,0,0,0,0,0,2140,0,0,0,0,0,0,0,0
