HS2,HS2 ID,Section,Section ID,Trade Value,Year
"Mineral fuels, mineral oils and products of their distillation",527,Mineral Products,5,541464702,2015
Inorganic chemicals,628,Chemical Products,6,136139606,2015
Organic chemicals,629,Chemical Products,6,7123964,2015
Pharmaceutical products,630,Chemical Products,6,119756759,2015
Fertilizers,631,Chemical Products,6,28609195,2015
"Paints, dyes, & varnishes",632,Chemical Products,6,28286675,2015
Perfumery & cosmetics,633,Chemical Products,6,24033001,2015
"Soap, cleaners, candles, dental, modelling pastes",634,Chemical Products,6,82289067,2015
"Glues, starches, & albuminoid products",635,Chemical Products,6,5210679,2015
"Explosives, matches, & fireworks",636,Chemical Products,6,1063673,2015
Photo & movie goods,637,Chemical Products,6,767265,2015
Chemical products n.e.s.,638,Chemical Products,6,28089693,2015
Plastics & articles thereof,739,Plastics and Rubbers,7,164972039,2015
Rubber & articles thereof,740,Plastics and Rubbers,7,15111066,2015
Raw hides & skin (non-fur),841,Animal Hides,8,79329887,2015
Leather articles,842,Animal Hides,8,3226197,2015
"Furskins, articifial fur, & articles",843,Animal Hides,8,89277,2015
"Wood, wood articles, & charcoal",944,Wood Products,9,9171502,2015
Cork & cork articles,945,Wood Products,9,25852,2015
Straw & esparto manufactures,946,Wood Products,9,1895156,2015
Wood pulp & paper scrap,1047,Paper Goods,10,1640824,2015
Paper articles,1048,Paper Goods,10,64514317,2015
"Books, newspapers, & other prints",1049,Paper Goods,10,61387195,2015
Silk,1150,Textiles,11,48150,2015
Wool & animal hair,1151,Textiles,11,6673772,2015
Cotton,1152,Textiles,11,3644139,2015
"Vegetable textile fibers, paper yarn & fabrics",1153,Textiles,11,42270500,2015
Man-made filaments,1154,Textiles,11,1858213,2015
Man-made staple fibres,1155,Textiles,11,8964987,2015
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,Textiles,11,3859461,2015
Carpets & textile floor covers,1157,Textiles,11,233314,2015
Special woven fabrics and tapestries,1158,Textiles,11,492463,2015
"Coated, covered, & laminated fabrics for industrial use",1159,Textiles,11,498774,2015
Knitted fabrics,1160,Textiles,11,643685,2015
Knitted clothing accesories,1161,Textiles,11,127868636,2015
Non-knitted clothing accesories,1162,Textiles,11,221776817,2015
Used clothes & textile articles,1163,Textiles,11,51997337,2015
Footwear,1264,Footwear and Headwear,12,38973013,2015
Headgear,1265,Footwear and Headwear,12,687945,2015
"Umbrellas, walking sticks, & whips",1266,Footwear and Headwear,12,307217,2015
"Feather articles, feathers, artificial flowers, & articles of human hair",1267,Footwear and Headwear,12,12799570,2015
"Stone, plaster, cement, asbestos, mica.",1368,Stone And Glass,13,3615736,2015
