"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Salt, sulphur, cement, lime, stone, & plaster",525,"Other Mineral",52530,"Mineral Products",5,176822,2012
"Ores, slag and ash",526,"Iron Ore",52601,"Mineral Products",5,198232,2012
"Ores, slag and ash",526,"Manganese Ore",52602,"Mineral Products",5,55980,2012
"Ores, slag and ash",526,"Aluminium Ore",52606,"Mineral Products",5,17112,2012
"Ores, slag and ash",526,"Tin Ores",52609,"Mineral Products",5,150,2012
"Ores, slag and ash",526,"Chromium Ore",52610,"Mineral Products",5,2191,2012
"Ores, slag and ash",526,"Tungsten Ore",52611,"Mineral Products",5,1185295,2012
"Ores, slag and ash",526,"Molybdenum Ore",52613,"Mineral Products",5,14865,2012
"Ores, slag and ash",526,"Titanium Ore",52614,"Mineral Products",5,331067,2012
"Ores, slag and ash",526,"Niobium, Tantalum, Vanadium and Zirconium Ore",52615,"Mineral Products",5,2570998,2012
"Ores, slag and ash",526,"Granulated Slag",52618,"Mineral Products",5,94109,2012
"Ores, slag and ash",526,"Slag Dross",52619,"Mineral Products",5,4981,2012
"Ores, slag and ash",526,"Non-Iron and Steel Slag, Ash and Residues",52620,"Mineral Products",5,66455,2012
"Ores, slag and ash",526,"Other Slag and Ash",52621,"Mineral Products",5,102625,2012
"Mineral fuels, mineral oils and products of their distillation",527,"Coal Briquettes",52701,"Mineral Products",5,4852877,2012
"Mineral fuels, mineral oils and products of their distillation",527,"Lignite",52702,"Mineral Products",5,264784,2012
"Mineral fuels, mineral oils and products of their distillation",527,"Peat",52703,"Mineral Products",5,212508,2012
"Mineral fuels, mineral oils and products of their distillation",527,"Coke",52704,"Mineral Products",5,68974,2012
"Mineral fuels, mineral oils and products of their distillation",527,"Tar",52706,"Mineral Products",5,2213,2012
"Mineral fuels, mineral oils and products of their distillation",527,"Coal Tar Oil",52707,"Mineral Products",5,3760615,2012
"Mineral fuels, mineral oils and products of their distillation",527,"Pitch Coke",52708,"Mineral Products",5,6111,2012
